from,to,relation
cody,wana,3
wana,warn,4
mega,rocn,1
rocn,sony,4
mega,cert,1
cert,300e,2
300e,warn,4
mega,300e,3
dove,disr,3
disr,orch,2
disr,sony,4
glor,cole,3
cole,inte,2
cole,univ,4
inte,univ,4
card,warn,3
chri,rcar,3
rcar,sony,4
hard,bigl,3
lain,bbrm,3
bbrm,bmgr,4
muni,defj,3
defj,univ,4
samh,unna,3
unna,univ,4
metr,boom,3
metr,boom,7
boom,repu,4
repu,univ,4
nard,rcar,3
oliv,sony,3
lubr,cana,3
cana,univ,4
beck,kemo,1
beck,sola,1
beck,sony,3
sola,sony,4
kemo,sony,6
djkh,weth,1
djkh,weth,7
weth,defj,2
weth,univ,4
bebe,ware,3
ware,warn,4
cami,inte,3
tyle,emna,3
emna,unna,4
rauw,sola,3
jess,walt,5
walt,univ,2
kany,good,3
kany,good,7
good,defj,6
jaso,bbrm,3
jell,bbrm,3
jell,wyte,1
rodw,almo,3
almo,sony,6
thom,bigm,3
bigm,univ,2
olga,walt,5
parm,ston,3
ston,bbrm,4
yobo,neve,3
yobo,neve,7
neve,moto,4
moto,univ,4
brit,rcar,3
jonp,cana,3
jax,atla,3
atla,warn,4
mira,rcan,3
rcan,sony,4
scot,trip,1
scot,sony,3
silk,afte,1
afte,univ,4
silk,atla,1
slea,isre,3
isre,univ,4
trav,gran,1
trav,epic,3
epic,sony,4
trav,cact,3
trav,cact,7
yung,repu,3
tyga,last,3
tyga,last,7
last,colu,2
colu,sony,4
proj,rela,3
rela,sony,4
